Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
55,ANDREY ZUBKOV,ZEN,39,1,16:02,5.1,1.4,2.3,60.2%,0.6,1.6,37.7%,0.6,0.9,64.7%,0.5,1.6,2.1,1.1,0.3,0.9,0,0.1,1.7,1.4,5.1
56,AMINE NOUA,ASV,28,4,15:31,5,1.1,2.4,48.5%,0.7,2.2,31.7%,0.6,0.8,76.2%,0.3,2.2,2.5,0.8,0.4,0.5,0.4,0.1,1.3,0.9,5.1
57,VLADIMIR MICOV,AXM,30,20,19:04,6.1,1.7,3.3,50%,0.7,1.6,45.8%,0.6,0.8,75%,0.2,1.4,1.6,1,0.6,0.9,0.1,0.1,1.7,1.3,5.4
58,FABIEN CAUSEUR,RMB,28,8,14:06,6.3,1.3,2.5,51.4%,0.9,2.1,41.7%,1,1.6,65.9%,0.1,1,1.1,1.4,0.4,1,0,0.4,1.1,1.6,5.4
58,SERGEY KARASEV,KHI,28,21,18:39,5.7,1,1.7,61.7%,0.9,2.8,31.2%,1,1.2,87.9%,0.4,1.6,2,1,1,0.7,0.1,0.1,2.5,1.6,5.4
60,AARON HARRISON,OLY,27,8,17:30,6.5,1,2.4,41.5%,0.9,3.5,26.6%,1.7,2.1,80.7%,0.2,1.6,1.8,1.1,0.5,0.7,0.1,0.1,1.6,2.3,5.4
61,CHARLES KAHUDI,ASV,31,16,21:12,5.6,1,2.2,44.1%,0.9,2.3,39.4%,0.9,1,90.6%,0.5,1.9,2.4,0.9,0.8,0.7,0.1,0.1,2.1,1.3,5.5
62,TADAS SEDEKERSKIS,TDS,32,21,16:16,3.5,0.9,1.7,56.6%,0.3,0.9,36.7%,0.6,0.7,78.3%,0.6,2.3,2.9,1.1,0.6,0.6,0.2,0.2,1.2,0.7,5.6
63,PIERRE ORIOLA,FCB,38,20,15:01,5.4,2.1,3.6,56.9%,0.1,0.3,50%,0.9,1.5,58.9%,1.4,2.2,3.6,0.8,0.2,1.2,0.3,0.3,2.1,1.3,5.7
64,JAMES ANDERSON,EFS,41,17,15:08,4.2,0.8,1.5,54%,0.6,1.2,45.1%,0.9,1.2,71.4%,0.7,2,2.8,0.8,0.4,0.4,0.1,0.1,1.3,1,5.7
65,AUSTIN HOLLINS,ZEN,38,34,19:21,8.2,1.4,2.7,52%,1.4,3.9,36.9%,1,1.2,83%,0.5,1.2,1.7,0.9,1,0.8,0.2,0.2,2,0.9,5.8
66,DARRUN HILLIARD,CSK,37,30,19:24,8.7,1.7,3.9,44.1%,1.3,4.1,32.7%,1.3,1.5,85.7%,0.3,1.7,2,1.1,0.6,1.1,0.2,0.4,1.8,1.6,5.9
67,BENJAMIN BENTIL,PAO,31,5,15:52,6,1.6,3.1,53.1%,0.5,1.4,36.4%,1.2,1.6,74%,0.9,1.7,2.6,0.9,0.5,1.1,0.2,0.2,1.7,1.4,5.9
